flag,language,country,greeting
🇦🇩,Andorra,Andorra,Hola
🇦🇪,United Arab Emirates,United Arab Emirates,Marhaba
🇦🇫,Afghanistan,Afghanistan,Senga yai
🇦🇬,Antigua and Barbuda,Antigua and Barbuda,Hello
🇦🇮,Anguilla,Anguilla,Hello
🇦🇱,Albania,Albania,Tungjatjeta
🇦🇲,Armenia,Armenia,Barev
🇧🇶,Bonaire,Bonaire,Kon ta bai
🇦🇴,Angola,Angola,Olá
🇦🇶,Antarctica,Antarctica,Hello
🇦🇷,Argentina,Argentina,Hola
🇦🇸,American Samoa,American Samoa,Hello
🇦🇹,Austria,Austria,Hallo
🇦🇺,Australia,Australia,Hello
🇦🇼,Aruba,Aruba,Kon ta bai
🇦🇽,Aland Islands,Aland Islands,Hello
🇦🇿,Azerbaijan,Azerbaijan,Salam
🇧🇦,Bosnia and Herzegovina,Bosnia and Herzegovina,Zdravo
🇧🇧,Barbados,Barbados,Hello
🇧🇩,Bangladesh,Bangladesh,Namaskar
🇧🇪,Belgium,Belgium,Hallo
🇧🇫,Burkina Faso,Burkina Faso,Bonjour
🇧🇬,Bulgaria,Bulgaria,Zdravei
🇧🇭,Bahrain,Bahrain,Marhaba
🇧🇮,Burundi,Burundi,Bonjour
🇧🇯,Benin,Benin,Bonjour
🇧🇲,Bermuda,Bermuda,Hello
🇧🇳,Brunei Darussalam,Brunei Darussalam,Selamat
🇧🇴,Bolivia,Bolivia,Hola
🇧🇷,Brazil,Brazil,Olá
🇧🇸,Bahamas,Bahamas,Hello
🇧🇹,Bhutan,Bhutan,Kuzu zangpo
🇧🇻,Bouvet Island,Bouvet Island,Hello
🇧🇼,Botswana,Botswana,Dumela
🇧🇾,Belarus,Belarus,Вітаю
🇧🇿,Belize,Belize,Hello
🇨🇦,Canada,Canada,Hello
🇨🇩,Congo  The Democratic Republic of the,Congo  The Democratic Republic of the,Bonjour
🇨🇫,Central African Republic,Central African Republic,Bonjour
🇨🇬,Congo,Congo,Bonjour
🇨🇭,Switzerland,Switzerland,Hallo
🇨🇮,Cote dIvoire,Cote dIvoire,Bonjour
🇨🇰,Cook Islands,Cook Islands,Kia orana
🇨🇱,Chile,Chile,Hola
🇨🇲,Cameroon,Cameroon,Hello
🇨🇳,China,China,你好
🇨🇴,Colombia,Colombia,Hola
🇨🇷,Costa Rica,Costa Rica,Hola
🇨🇺,Cuba,Cuba,Hola
🇨🇻,Cape Verde,Cape Verde,Olá
🇨🇾,Cyprus,Cyprus,Γεια σου
🇨🇿,Czech Republic,Czech Republic,Dobrý den
🇩🇪,Germany,Germany,Hallo
🇩🇯,Djibouti,Djibouti,Marhaba
🇩🇰,Denmark,Denmark,Hej
🇩🇲,Dominica,Dominica,Hello
🇩🇴,Dominican Republic,Dominican Republic,Hola
🇩🇿,Algeria,Algeria,Marhaba
🇪🇨,Ecuador,Ecuador,Hola
🇪🇪,Estonia,Estonia,Tervist
🇪🇬,Egypt,Egypt,Marhaba
🇪🇷,Eritrea,Eritrea,Marhaba
🇪🇸,Spain,Spain,Hola
🇪🇹,Ethiopia,Ethiopia,Teanastëllën
🇪🇺,Europe,Europe,Hello
🇫🇮,Finland,Finland,Moi
🇫🇯,Fiji,Fiji,Hello
🇫🇰,Falkland Islands (Malvinas),Falkland Islands (Malvinas),Hello
🇫🇲,Micronesia  Federated States of,Micronesia  Federated States of,Hello
🇫🇴,Faroe Islands,Faroe Islands,Hallo
🇫🇷,France,France,Bonjour
🇬🇦,Gabon,Gabon,Bonjour
🇬🇧,Great Britain,Great Britain,Hello
🇬🇩,Grenada,Grenada,Hello
🇬🇪,Georgia,Georgia,Gamardjobat
